2024-01-31 02:01:01,GOP真值,一般类-隔离柱
2024-01-31 02:02:58,TSLR真值,提示类标志
2024-01-31 02:03:21,PVB真值,存在大车或异型车
2024-01-31 02:04:01,PVB真值,特殊类型-双层运输车
2024-01-31 02:04:59,GOP真值,文字路牌
2024-01-31 02:06:42,GOP真值,一般类-锥桶
2024-01-31 02:08:38,GOP真值,一般类-锥桶
2024-01-31 02:09:15,TSLR真值,文字路牌
2024-01-31 02:09:27,GOP真值,一般类-锥桶
2024-01-31 02:10:45,TSLR真值,路面标识
2024-01-31 02:12:30,TSLR真值,限速牌
2024-01-31 02:13:10,PVB真值,存在大车或异型车
2024-01-31 02:14:53,GOP真值,一般类-锥桶
2024-01-31 02:16:31,PVB真值,特殊类型-拉着不规则货物的货车
2024-01-31 02:17:38,GOP真值,一般类-护栏
2024-01-31 02:17:52,PVB真值,存在大车或异型车
2024-01-31 02:18:35,TSLR真值,文字路牌
2024-01-31 02:20:46,TSLR真值,限速牌
2024-01-31 02:21:23,GOP真值,一般类-锥桶
2024-01-31 02:22:48,GOP真值,一般类-水马
2024-01-31 02:24:10,PVB真值,密集车辆
2024-01-31 02:26:09,GOP真值,一般类-锥桶
2024-01-31 02:26:48,TSLR真值,文字路牌/其他
2024-01-31 02:27:44,GOP真值,一般类-锥桶
2024-01-31 02:29:41,PVB真值,存在大车或异型车
2024-01-31 02:32:14,TSLR真值,地面标识
2024-01-31 02:33:55,GOP真值,一般类-锥桶
2024-01-31 02:36:18,GOP真值,一般类-护栏
2024-01-31 02:36:45,PVB真值,特殊类型-水泥罐车
2024-01-31 02:41:53,PVB真值,特殊类型-水泥罐车
2024-01-31 02:45:04,TSLR真值,限速牌
2024-01-31 02:48:11,PVB真值,密集车辆
2024-01-31 02:49:02,TSLR真值,路口红绿灯
2024-01-31 02:51:00,GOP真值,提升类标识
2024-01-31 02:52:35,TSLR真值,路口红绿灯
2024-01-31 02:55:11,TSLR真值,文字路牌
2024-01-31 02:56:23,GOP真值,一般类-锥桶
2024-01-31 02:57:26,GOP真值,一般类-隔离柱
2024-01-31 02:58:40,PVB真值,存在大车或异型车
2024-01-31 03:01:18,PVB真值,存在5个以上的大车或异型车
2024-01-31 03:02:49,TSLR真值,路口红绿灯
2024-01-31 03:03:30,PVB真值,存在VRU
2024-01-31 03:04:18,GOP真值,一般类-锥桶
2024-01-31 03:05:43,GOP真值,一般类-护栏
2024-01-31 03:06:30,PVB真值,存在大车或异型车
2024-01-31 03:06:56,GOP真值,一般类-隔离柱
2024-01-31 03:07:20,TSLR真值,路口红绿灯
2024-01-31 03:08:13,TSLR真值,文字路牌
2024-01-31 03:08:46,TSLR真值,禁止类标志
2024-01-31 03:10:19,PVB真值,存在大车或异型车
2024-01-31 03:11:51,PVB真值,特殊类型-垃圾车
2024-01-31 03:12:30,PVB真值,特殊类型-水泥罐车
2024-01-31 03:14:28,TSLR真值,路面标识
2024-01-31 03:15:19,GOP真值,一般类-锥桶
2024-01-31 03:16:03,GOP真值,施工标志牌
2024-01-31 03:16:31,TSLR真值,文字路牌/其他
2024-01-31 03:17:32,PVB真值,拉着东西的人
2024-01-31 03:17:48,GOP真值,一般类-水马
2024-01-31 03:18:24,TSLR真值,路口红绿灯
2024-01-31 03:20:18,GOP真值,一般类-护栏
